type,client,tx,amount
deposit,1,1,1000.0000
deposit,1,2,500.0000
withdrawal,1,3,200.0000
withdrawal,1,4,1200.0000
deposit,2,5,300.0000
withdrawal,2,6,300.0000
withdrawal,2,7,50.0000
deposit,3,8,750.0000
deposit,3,9,250.0000
dispute,3,8,
resolve,3,8,
dispute,3,9,
chargeback,3,9,
deposit,4,10,400.0000
dispute,4,10,
dispute,4,10,
deposit,5,11,600.0000
resolve,5,11,
deposit,6,12,800.0000
dispute,6,12,
resolve,6,12,
chargeback,6,12,
deposit,7,13,900.0000
dispute,7,99,
deposit,8,14,500.0000
withdrawal,8,15,100.0000
dispute,8,15,
deposit,9,16,1000.0000
deposit,9,17,500.0000
dispute,9,16,
chargeback,9,16,
deposit,9,18,200.0000
withdrawal,9,19,100.0000
deposit,10,20,100.0000
deposit,10,21,200.0000
deposit,10,22,300.0000
withdrawal,10,23,550.0000
withdrawal,10,24,100.0000
